Rat,SD,Condition,Neuron,Pre-sleep,Trial1,Post-Trial1,Trial2,Post-Trial2,Trial3,Post-Trial3,Trial4,Post-Trial4,Trial5,PT5_part1,PT5_part2,PT5_part3,PT5_part4
6,SD8,OR,0,0.16787820466592657,0.29880143379756813,0.22340409174587425,0.2843625788155825,0.16349734525498577,0.10552307200978392,0.21203516435697173,0.17684645746457223,0.15846079348902037,0.24319233422430606,0.13876198044102003,0.15949218859047973,0.1779170637568342,0.16851065588566777
6,SD8,OR,1,0.05129521918508319,0.03932752395514854,0.04913494691849812,0.052168543648760335,0.05610630088517816,0.048214843693311776,0.04167849158176012,0.06194156260463201,0.04080425255776231,0.06319626998619408,0.0394093098630427,0.051645602050831664,0.04489095405876224,0.04289513659859524
6,SD8,OR,2,0.103390419678704,0.08843188461811995,0.07256518661528726,0.06020062437736035,0.07723445040515925,0.07152884268818935,0.06422685534768952,0.08693474712572134,0.05679058069163833,0.08145026731070834,0.0576184595140856,0.05936486452391743,0.06014964128896484,0.04329219776311586
9,SD3,OR,0,0.0438606863821008,0.06568040148679845,0.06547608072405191,0.059177882937273725,0.05353862399009823,0.05718501553956621,0.052911503202777654,0.06548604542770352,0.051339484986493225,0.04026880103068802,0.050935647326497635,0.05643401379885216,0.06506621573097827,0.06137771598450646
9,SD3,OR,1,0.19814724497173494,0.0583931003564962,0.04076426117457839,0.3400607584048584,0.05128375397804272,0.094916825456805,0.05020906919513528,0.03709158625993917,0.0467156604320072,0.05154597811938175,0.050997779414624876,0.09070456010440613,0.034671649099574445,0.05380919483934125
9,SD3,OR,2,0.059544060269132525,0.0578439467326708,0.0571234412142003,0.05494768680653696,0.05802128392896357,0.06945063536714917,0.059907609295484276,0.04515891329020646,0.0563277078921485,0.06374814650727774,0.055452593667097844,0.04892894014079567,0.045687166609554346,0.054898670745365356
9,SD3,OR,3,0.19805890280518057,0.07162968120666183,0.2282757895773534,0.41067207517676785,0.23080267090132134,0.310097971688453,0.2537596317022264,0.27967169007708054,0.15823929750404908,0.23934669489793411,0.11665536208451886,0.11625794622394565,0.12545707293119443,0.11299465747436412
1,SD8,HC,0,0.04184654733678372,0.06751669106968738,0.044213032131348085,0.09670557333126974,0.03598251411318607,0.0348723014371479,0.04940666378888488,0.049211632674297436,0.04097087717399324,0.05190643634366076,0.049603514609041624,0.04495296922588418,0.039067015598488075,0.0460544856329325
9,SD1,HC,0,0.0671726351763248,0.09638720240261174,0.10651616056970188,0.0701168092197999,0.07250035941980121,0.11364430243104537,0.0890412249874096,0.09260606636649023,0.07949933481131122,0.08709170238887952,0.08697566543208313,0.08949496700259502,0.08676872830775081,0.07955509788716567
9,SD1,HC,1,0.09159084546806778,0.12963811598556998,0.1198193421730866,0.12738917342738548,0.11110359103843769,0.10295987978286215,0.1374617784274488,0.08995473878616882,0.12573745116164045,0.10458036244451849,0.13623858313271583,0.10413065670225116,0.10718057578027852,0.1012951972188464
1,SD1,CON,0,0.08604591728198834,0.15160930905019795,0.12040640795693382,0.12672373995899952,0.12654683727693986,0.11142868968326407,0.13600864745713395,0.10608968646023008,0.07837073188969455,0.07239232175746046,0.120094083756278,0.17510425895253892,0.18331746701983873,0.1539910567531498
9,SD2,CON,0,0.05120668886195022,0.10352858517967252,0.05854566068579224,0.09870011538378361,0.10074683557386287,0.0998631359310668,0.07125123717377142,0.07596788498918781,0.06046437636365667,0.07078155673941887,0.06754076218591862,0.0716655362410545,0.06514009637636743,0.05720126012070757
9,SD2,CON,1,0.08751950536360725,0.09839848882400845,0.09888271473991099,0.07939426130422625,0.144476472898754,0.10226562656558777,0.11842316953100386,0.10380651204142366,0.10215995375744782,0.09095544184494321,0.10709745550408263,0.09503353888420119,0.10655304418810833,0.11043348255150028
9,SD2,CON,2,0.13201885740323052,0.1390793336713365,0.16010476538262167,0.15526087942561453,0.11677544243561304,0.10686261355090376,0.11531133536492345,0.126726592056697,0.10280602242495826,0.07862714790067225,0.10785707484610398,0.11173941325566301,0.10631370905000136,0.10183274179563583
9,SD2,CON,3,0.07824451413297656,0.08734918065548489,0.07438021300784987,0.13115152405760816,0.10335893008119613,0.06630788677863969,0.08953940641449754,0.10119010334264447,0.06503577678441737,0.07243282066740282,0.07478438738761944,0.06502223344942427,0.056425737139943706,0.06954572279769834